Costi della Gestione Corrente,2017,2018,2019
Costi per sostegno agli studenti,10.039.316,10.103.316,10.045.916
Costi per il diritto allo studio,9.171.282,9.118.378,9.101.144
Costi per la ricerca e l'attivit� editoriale	,4.713.885,4.584.460,4.296.050
Trasferimenti a partner di progetti coordinati,490.391,80.000,80.000
Acquisto materiale consumo per laboratori,685.058,521.754,520.583
Variazione rimanenze di materiale di consumo per laboratori,0,0,0
Acquisto di libri periodici e materiale bibliografico,16.050,16.050,16.050
Acquisto di servizi e collaborazioni tecnico gestionali,20.253.153,19.491.346,19.043.848
Acquisto altri materiali,450.461,414.165,408.184
Variazione delle rimanenze di materiali,0,0,0
Costi per godimento beni di terzi,3.413.066,3.384.625,3.057.820
Altri costi,9.022.391,7.517.590,7.562.284
